github.com/dunglas/mercure/caddy,https://github.com/dunglas/mercure/blob/caddy/v0.24.2/caddy/LICENSE,AGPL-3.0
github.com/dunglas/skipfilter,https://github.com/dunglas/skipfilter/blob/v1.0.0/LICENSE,MIT
github.com/dunglas/vulcain,https://github.com/dunglas/vulcain/blob/v1.4.2/LICENSE,AGPL-3.0
github.com/dunglas/vulcain/caddy,https://github.com/dunglas/vulcain/blob/caddy/v1.4.2/caddy/LICENSE,AGPL-3.0
github.com/dustin/go-humanize,https://github.com/dustin/go-humanize/blob/v1.0.1/LICENSE,MIT
github.com/felixge/httpsnoop,https://github.com/felixge/httpsnoop/blob/v1.1.0/LICENSE.txt,MIT
github.com/fxamacker/cbor/v2,https://github.com/fxamacker/cbor/blob/v2.9.2/LICENSE,MIT
github.com/getkin/kin-openapi,https://github.com/getkin/kin-openapi/blob/v0.140.0/LICENSE,MIT
github.com/go-chi/chi/v5,https://github.com/go-chi/chi/blob/v5.3.0/LICENSE,MIT
github.com/go-jose/go-jose/v3,https://github.com/go-jose/go-jose/blob/v3.0.5/LICENSE,Apache-2.0
github.com/go-jose/go-jose/v3/json,https://github.com/go-jose/go-jose/blob/v3.0.5/json\LICENSE,BSD-3-Clause
github.com/go-jose/go-jose/v4,https://github.com/go-jose/go-jose/blob/v4.1.4/LICENSE,Apache-2.0
github.com/go-jose/go-jose/v4/json,https://github.com/go-jose/go-jose/blob/v4.1.4/json\LICENSE,BSD-3-Clause
github.com/go-logr/logr,https://github.com/go-logr/logr/blob/v1.4.4/LICENSE,Apache-2.0
github.com/go-logr/stdr,https://github.com/go-logr/stdr/blob/v1.2.2/LICENSE,Apache-2.0
github.com/go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer/blob/v0.23.1/LICENSE,Apache-2.0
github.com/go-openapi/swag/jsonname,https://github.com/go-openapi/swag/blob/jsonname/v0.26.0/jsonname/LICENSE,Apache-2.0
github.com/go-sql-driver/mysql,https://github.com/go-sql-driver/mysql/blob/v1.10.0/LICENSE,MPL-2.0
github.com/gofrs/uuid,https://github.com/gofrs/uuid/blob/v4.4.0/LICENSE,MIT
github.com/gofrs/uuid/v5,https://github.com/gofrs/uuid/blob/v5.5.1/LICENSE,MIT
github.com/golang-jwt/jwt/v5,https://github.com/golang-jwt/jwt/blob/v5.3.1/LICENSE,MIT
github.com/golang/protobuf/proto,https://github.com/golang/protobuf/blob/v1.5.4/LICENSE,BSD-3-Clause
github.com/golang/snappy,https://github.com/golang/snappy/blob/v1.0.0/LICENSE,BSD-3-Clause
github.com/google/cel-go,https://github.com/google/cel-go/blob/v0.28.1/LICENSE,Apache-2.0
github.com/google/cel-go,https://github.com/google/cel-go/blob/v0.28.1/LICENSE,BSD-3-Clause
github.com/google/certificate-transparency-go,https://github.com/google/certificate-transparency-go/blob/v1.3.3/LICENSE,Apache-2.0
github.com/google/go-tpm,https://github.com/google/go-tpm/blob/v0.9.8/LICENSE,Apache-2.0
github.com/google/go-tspi,https://github.com/google/go-tspi/blob/v0.3.0/LICENSE,Apache-2.0
